"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","225,192","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","DALLAS","049","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","177,991","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","GRUNDY","075","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","232,883","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HAMILTON","079","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","234,936","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HARDIN","083","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","199,885","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","JASPER","099","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","251,754","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","MARSHALL","127","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","206,584","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POLK","153","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","116,866","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POWESHIEK","157","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","171,970","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","STORY","169","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","172,710","10.5"
