CountyName,n_huc8,huc8_with_flow,huc8_with_conc,huc8_with_both,disjoint,no_flow,no_conc
Adair,7,5,7,5,False,False,False
Adams,4,2,3,1,False,False,False
Allamakee,3,3,3,3,False,False,False
Appanoose,5,3,4,3,False,False,False
Audubon,3,3,3,3,False,False,False
Benton,2,2,2,2,False,False,False
Black Hawk,5,5,5,5,False,False,False
Boone,4,4,4,4,False,False,False
Bremer,4,4,4,4,False,False,False
Buchanan,3,3,3,3,False,False,False
Buena Vista,5,5,5,5,False,False,False
Butler,4,4,4,4,False,False,False
Calhoun,2,2,2,2,False,False,False
Carroll,5,5,5,5,False,False,False
Cass,3,3,3,3,False,False,False
Cedar,2,2,2,2,False,False,False
Cerro Gordo,4,4,4,4,False,False,False
Cherokee,4,3,4,3,False,False,False
Chickasaw,3,3,3,3,False,False,False
Clarke,3,3,3,3,False,False,False
Clay,4,4,4,4,False,False,False
Clayton,4,4,4,4,False,False,False
Clinton,4,3,4,3,False,False,False
Crawford,5,5,5,5,False,False,False
Dallas,4,4,4,4,False,False,False
Davis,4,3,4,3,False,False,False
Decatur,3,2,3,2,False,False,False
Delaware,3,3,3,3,False,False,False
Des Moines,3,2,3,2,False,False,False
Dickinson,2,2,2,2,False,False,False
Dubuque,4,3,4,3,False,False,False
Emmet,4,3,3,3,False,False,False
Fayette,3,3,3,3,False,False,False
Floyd,4,4,4,4,False,False,False
Franklin,4,4,4,4,False,False,False
Fremont,5,5,5,5,False,False,False
Greene,3,3,3,3,False,False,False
Grundy,3,3,3,3,False,False,False
Guthrie,4,4,4,4,False,False,False
Hamilton,4,4,4,4,False,False,False
Hancock,5,5,5,5,False,False,False
Hardin,3,3,3,3,False,False,False
Harrison,6,5,6,5,False,False,False
Henry,3,2,3,2,False,False,False
Howard,3,3,3,3,False,False,False
Humboldt,4,4,4,4,False,False,False
Ida,4,4,4,4,False,False,False
Iowa,2,2,2,2,False,False,False
Jackson,2,1,2,1,False,False,False
Jasper,4,4,4,4,False,False,False
Jefferson,3,3,3,3,False,False,False
Johnson,3,3,3,3,False,False,False
Jones,4,4,4,4,False,False,False
Keokuk,4,4,4,4,False,False,False
Kossuth,4,3,3,3,False,False,False
Lee,4,3,4,3,False,False,False
Linn,6,6,6,6,False,False,False
Louisa,5,4,5,4,False,False,False
Lucas,3,3,3,3,False,False,False
Lyon,2,2,2,2,False,False,False
Madison,4,4,4,4,False,False,False
Mahaska,5,5,5,5,False,False,False
Marion,3,3,3,3,False,False,False
Marshall,5,5,5,5,False,False,False
Mills,3,3,3,3,False,False,False
Mitchell,4,4,4,4,False,False,False
Monona,5,4,5,4,False,False,False
Monroe,2,2,2,2,False,False,False
Montgomery,5,4,5,4,False,False,False
Muscatine,3,3,3,3,False,False,False
O'Brien,3,3,3,3,False,False,False
Osceola,3,3,3,3,False,False,False
Page,5,4,5,4,False,False,False
Palo Alto,5,5,5,5,False,False,False
Plymouth,5,4,5,4,False,False,False
Pocahontas,3,3,3,3,False,False,False
Polk,4,4,4,4,False,False,False
Pottawattamie,5,5,5,5,False,False,False
Poweshiek,4,4,4,4,False,False,False
Ringgold,4,2,3,1,False,False,False
Sac,4,4,4,4,False,False,False
Scott,3,3,3,3,False,False,False
Shelby,5,5,5,5,False,False,False
Sioux,3,3,3,3,False,False,False
Story,6,6,6,6,False,False,False
Tama,2,2,2,2,False,False,False
Taylor,4,1,3,0,True,False,False
Union,5,2,5,2,False,False,False
Van Buren,3,3,3,3,False,False,False
Wapello,2,2,2,2,False,False,False
Warren,2,2,2,2,False,False,False
Washington,2,2,2,2,False,False,False
Wayne,3,2,2,2,False,False,False
Webster,4,4,4,4,False,False,False
Winnebago,5,4,4,4,False,False,False
Winneshiek,4,3,3,3,False,False,False
Woodbury,6,5,6,5,False,False,False
Worth,3,3,3,3,False,False,False
Wright,3,3,3,3,False,False,False
