CountyName,Year,Month,loading_kgha,load_covered_area_ha,n_valid_pieces,n_total_pieces,county_area_ha_from_pieces,coverage_frac
Adair,2000.0,1.0,0.026756168652881315,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2000.0,2.0,0.048854623050634385,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2000.0,3.0,0.04990996262840613,106415.17590163954,4.0,5.0,147693.6348028366,0.7205129458943733
Adair,2000.0,4.0,0.03708470971564116,106415.17590163954,4.0,5.0,147693.6348028366,0.7205129458943733
Adair,2000.0,5.0,0.00805287322247747,106415.17590163954,4.0,5.0,147693.6348028366,0.7205129458943733
Adair,2000.0,6.0,0.2921979063121045,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2000.0,7.0,0.5354148354350207,104470.54524513482,3.0,5.0,147693.6348028366,0.7073462941351374
Adair,2000.0,8.0,0.025156726403345323,104470.54524513482,3.0,5.0,147693.6348028366,0.7073462941351374
Adair,2000.0,9.0,0.0023845496577389897,47688.671261999465,2.0,5.0,147693.6348028366,0.3228891436361586
Adair,2000.0,10.0,0.012164550912418672,106415.17590163954,4.0,5.0,147693.6348028366,0.7205129458943733
Adair,2000.0,11.0,0.010976856644694373,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2000.0,12.0,0.01773149210174549,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2001.0,1.0,0.03881244868505835,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2001.0,2.0,0.30908768614433746,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2001.0,3.0,1.8071813064733389,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2001.0,4.0,1.5516385868002398,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2001.0,5.0,2.3316950683584152,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2001.0,6.0,3.452464967241528,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2001.0,7.0,0.5304427833639875,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2001.0,8.0,0.22157857113030824,47688.671261999465,2.0,5.0,147693.6348028366,0.3228891436361586
Adair,2001.0,9.0,0.03145308415556717,77984.42037419602,3.0,5.0,147693.6348028366,0.5280147683974411
Adair,2001.0,10.0,0.044170940929668646,106415.17590163954,4.0,5.0,147693.6348028366,0.7205129458943733
Adair,2001.0,11.0,0.038316202245530714,106415.17590163954,4.0,5.0,147693.6348028366,0.7205129458943733
Adair,2001.0,12.0,0.03770034203844097,106415.17590163954,4.0,5.0,147693.6348028366,0.7205129458943733
Adair,2002.0,1.0,0.03657166258262785,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2002.0,2.0,0.059949821139624555,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2002.0,3.0,0.06717953051309375,136710.9250138361,5.0,5.0,147693.6348028366,0.9256385706556558
Adair,2002.0,4.0,0.10313658775073847,106415.17590163954,4.0,5.0,147693.6348028366,0.7205129458943733
