Year,statewide_load_tons,mean_loading_kgha,median_loading_kgha,counties
2000,85184.6717081938,5.8014209352426604,3.1658373044918973,98
2001,257116.86005211805,17.639031459993323,18.662388581907976,98
2002,111228.40463761898,7.559009632500752,7.725762880145574,98
2003,136447.62482547478,9.296800048329406,8.31486246293427,98
2004,220972.28123629553,15.14424108383717,15.410485669342886,98
2005,163474.7264765897,11.257696588589114,10.340544580755912,98
2006,167343.5924387937,11.458022330842597,11.921327800626916,98
2007,382490.06299830426,26.133657664368613,27.59056650580503,98
2008,382133.4206743399,26.0640470483736,25.852244970149513,98
2009,207352.24831911738,14.20489405410192,13.451825194402709,98
2010,394736.70383494446,27.017484353619146,27.055695389801123,98
2011,252826.47552995058,17.393677456739262,18.430963292613875,98
2012,59027.25557599772,3.997578499935228,3.7195813043798744,98
2013,323184.50872491096,22.172020817027967,21.675762422878392,98
2014,264149.05514975457,18.013324267822462,19.024166653196744,98
2015,382593.29493959394,26.099956071547123,21.928351029176174,98
2016,423477.5787386326,28.76327951369058,30.55696684798788,98
2017,259026.041375374,17.549996119080536,17.631277683950323,98
2018,378154.1776991224,25.578758141815797,25.49709154771379,98
2019,323135.6184228592,22.12211031954486,22.569821358914822,97
