omitted,beta,zero_cross,gain
Adair,0.00018363867191028183,835.5542899877992,981.7675289907638
Adams,0.00018473649528849174,850.0471387197184,950.809571208163
Allamakee,0.00018619433373736501,840.396765879766,992.1239932968018
Appanoose,0.00017487763518689908,844.5242794253091,921.4662684961096
Audubon,0.0001855478227499355,851.7178711222834,936.5746405442582
Benton,0.00018597205551305445,843.6435150952332,979.528596417644
Black Hawk,0.00018576738684063972,844.2818087358385,976.5650837970768
Boone,0.00018595803858749454,844.395922266815,981.622484622891
Bremer,0.00018476854227653604,843.4441828665624,974.5064044130187
Buchanan,0.00018402746365339648,851.4080501659215,930.641145414419
Buena Vista,0.00018132846820291318,836.4531364719044,969.7453245548587
Butler,0.00018487127637444297,840.2519779962895,977.203846171112
Calhoun,0.00018450734868000692,846.4534242960965,955.3966885024446
Carroll,0.00018013872351159565,844.2701325619222,912.0241784032021
Cass,0.00018490818104831874,847.1824635434083,963.8517874036565
Cedar,0.0001859433892940586,843.1168813255297,979.2239587763446
Cerro Gordo,0.00018668350968971168,842.3591819947493,990.5665413929787
Cherokee,0.0001874308027791806,842.5956524173961,985.0753444291532
Chickasaw,0.00018526284727758357,843.1443687250554,963.579372218927
Clarke,0.00019729651977430844,821.0761980348846,1079.1241518018405
Clay,0.00018608487163987794,844.7188288864278,977.6200315298858
Clayton,0.00018563378166384668,842.2271672540794,970.3944262313905
Clinton,0.0001839283133885787,841.066421789191,980.7069193982835
Crawford,0.00018484745653211894,840.2596022817146,976.1866342166862
Dallas,0.00019106977929066302,850.1817700734192,991.8711196671252
Davis,0.00019049675843920688,847.3751377354588,979.1488756825163
Decatur,0.00018601614869643508,845.0401127901841,962.6328903496009
Delaware,0.00018521062756436278,843.9367610754534,943.4024698237026
Des Moines,0.00018638564276708336,847.4022032954359,975.54887473994
Dickinson,0.00018494536409600302,840.0960309008072,987.9718772429142
Dubuque,0.0001830213098069444,843.6246835882384,949.3861485245243
Emmet,0.00018638699552137134,840.6548445935684,988.0883434559298
Fayette,0.00018556390437282974,841.9114498656538,979.5055114200568
Floyd,0.00018508229305232727,840.3841007903108,980.9556269393069
Franklin,0.00018281360134607278,839.2580095886676,962.8809659665557
Fremont,0.0001852809133711469,837.6458547464954,997.0418548086346
Greene,0.00018514937826527773,854.0707807538269,944.0121380215687
Grundy,0.00018479692283062882,845.175146702616,965.8755268405031
Guthrie,0.00018494609742077586,841.1487088181108,981.7013890581823
Hamilton,0.0001872704782197084,834.8237902043599,974.0172900982188
Hancock,0.00018270561175742322,844.0270418340302,950.3541479117738
Hardin,0.00018240193894268253,838.3216634838416,939.2895864171189
Harrison,0.00018779910022727033,841.7269025559154,999.0782558322624
Henry,0.00018628692378995718,849.5139091908937,968.7735494087426
Howard,0.0001857295526718836,841.888497496648,972.1781401469474
Humboldt,0.00018573746483353844,843.3034885449204,979.5017780618608
Ida,0.00018573244983228186,841.2925983824961,986.283224261702
Iowa,0.00018530684734761974,845.0321652499781,971.974619794997
Jackson,0.0001854267161915744,830.972807045121,1014.3062907266511
Jasper,0.0001854164707309991,852.3904776935012,954.0418557734934
Jefferson,0.0001860915434270947,851.6591948373083,960.2984042802437
Johnson,0.0001854449530204374,849.2610283298139,963.1020601509556
Jones,0.00018566160213956783,843.3747789183086,981.862736190124
Keokuk,0.00018554746521727333,847.6424856601411,958.5172732980088
Kossuth,0.00018563954039681085,839.1132255247259,972.2888467304124
Lee,0.00018400629813020763,844.4186719832574,971.5188545993494
Linn,0.0001869852082010546,843.1725964693088,990.7955855928969
Louisa,0.00018632417091009532,840.6590213685288,984.6138813286431
Lucas,0.0001817024387828443,838.2347891046953,972.399026557621
Lyon,0.0001916605893004042,879.522897388425,888.1836579186937
Madison,0.00018209293735855183,847.4123470230513,949.9647439014074
Mahaska,0.00018717221819574727,846.7353279925046,965.1679259837355
Marion,0.00018231085259958808,847.5673384803547,953.7582277003179
Marshall,0.00018601738163676377,847.0558147685965,971.6808778053521
Mills,0.00018881707960091094,846.1924790646718,991.7845142124578
Mitchell,0.00018336109233385795,838.0029289163191,966.857369123104
Monona,0.00018436102615256364,841.0569791431521,982.0212489381987
Monroe,0.00018309425433665446,838.5722448937671,980.1382177207178
Montgomery,0.00018587454989555071,845.2936188277955,977.6985881702333
Muscatine,0.00018476502460162923,842.4759031496297,980.1428609443232
O'Brien,0.00018347457756381878,838.9776332417797,959.8518472839896
Osceola,0.00018273632440291533,842.5163283551316,951.7498969724803
Page,0.00018435202046228975,845.0166942661127,971.1586054137194
Palo Alto,0.00019083692015376343,842.8676628732526,994.4043952439146
Plymouth,0.00018293574958894087,845.3818669788224,940.2232716107391
Pocahontas,0.00018480992148915888,844.6091137868345,965.7198245843413
Polk,0.0001868685802061799,848.9873363426068,973.5144256452128
Pottawattamie,0.00018677981441718458,843.7369363176782,985.2138794455948
Poweshiek,0.0001858214605531224,849.414080081168,966.172880466346
Ringgold,0.00018583089665751695,842.1702480536045,989.2933743889504
Sac,0.0001810781833731309,832.4140717960133,968.4263093502269
Scott,0.00018367618442666867,842.2445034171844,975.0168917106348
Shelby,0.00018523291442790917,844.9668856871277,965.9113268798549
Sioux,0.00016387270258539093,859.3664487524015,779.2950254131679
Story,0.00018505182404646712,844.9475682936837,973.9436626560786
Tama,0.0001874422677312681,849.2605718074644,974.2103382638987
Union,0.00019903420318235864,859.5032947167331,973.0444795263744
Van Buren,0.0001870872815655932,845.9849515321661,975.6488181708023
Wapello,0.00018491472691854028,846.8423160569473,968.9023737843906
Warren,0.00018043395678427786,847.6152362921911,943.8952235097113
Washington,0.00020993983734973192,824.8022683395092,1080.5462595005683
Wayne,0.000171313646553299,840.6312634512481,923.6665973559908
Webster,0.00018623725972605917,843.9126845553645,979.3038425784914
Winnebago,0.00018636637837913966,843.2434687173568,985.9044869065438
Winneshiek,0.0001856287878540047,839.5756411983334,989.9567824238726
Woodbury,0.0001842762708917166,837.3878305657214,990.6555583562014
Worth,0.00018731928245798436,846.4936325767073,982.8419770452446
Wright,0.00018394247517220915,842.2936683121818,957.8454308304914
